IMDB,Name,Runtime (mins),Genre,Rating,Votes,Description,Stars,Release_year,End_year,Episodes
10314462,Zoey's Extraordinary Playlist,60.0,"Comedy, Drama, Musical            ",8.2,10351,    A young woman discovers she has the ability to hear the innermost thoughts of people around her as songs and musical numbers.,"Jane Levy, Skylar Astin, Alex Newell, John Clarence Stewart",2020, ,18
0472954,It's Always Sunny in Philadelphia,22.0,Comedy            ,8.8,189848,    Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson",2005, ,157
0455275,Prison Break,44.0,"Action, Crime, Drama            ",8.3,475070,"    Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper",2005,2017,91
5743796,Warrior,60.0,"Action, Crime, Drama            ",8.3,16568,"    During the Tong Wars in the late 1800s, Ah Sahm, a martial arts prodigy from China, immigrates to San Francisco and becomes a hatchet man for the most powerful tong in Chinatown.","Andrew Koji, Olivia Cheng, Jason Tobin, Dianne Doan",2019, ,20
4158110,Mr. Robot,49.0,"Crime, Drama, Thriller            ",8.6,332155,"    Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström",2015,2019,46
1266020,Parks and Recreation,22.0,Comedy            ,8.6,212211,    The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,"Amy Poehler, Jim O'Heir, Nick Offerman, Chris Pratt",2009,2020,125
2710394,Reign,42.0,"Drama, Fantasy            ",7.5,43428,"    Mary, Queen of Scots, faces political and sexual intrigue in the treacherous world of the French court.","Adelaide Kane, Megan Follows, Celina Sinden, Torrance Coombs",2013,2017,78
1595859,Blue Bloods,43.0,"Crime, Drama, Mystery            ",7.6,32347,    Revolves around a family of New York cops.,"Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou",2010, ,225
7414406,All American,45.0,"Drama, Sport            ",7.7,5886,"    When a star high school football player from South Central is recruited to play for Beverly Hills High School, two separate worlds collide.","Daniel Ezra, Samantha Logan, Michael Evans Behling, Taye Diggs",2018, ,48
8270592,Miss Scarlet and the Duke,,"Crime, Drama            ",7.5,2194,    Eliza Scarlet joins forces with a Scotland Yard Inspector to solve crime in 19th century London.,"Kate Phillips, Stuart Martin, Cathy Belton, Danny Midwinter",2020, ,7
7203552,The Morning Show,60.0,Drama            ,8.4,50640,"    An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.","Jennifer Aniston, Reese Witherspoon, Billy Crudup, Mark Duplass", 2019, ,20
7335184,You,45.0,"Crime, Drama, Romance            ",7.7,142312,"    A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","Penn Badgley, Victoria Pedretti, Ambyr Childers, Elizabeth Lail",2018, ,30
1843230,Once Upon a Time,60.0,"Adventure, Fantasy, Romance            ",7.7,208252,    A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,"Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle",2011,2018,156
5290382,Mindhunter,60.0,"Crime, Drama, Thriller            ",8.6,215390,"    Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross",2017,2019,19
